brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Cuc Tung,450000,21 chỗ ngồi,21:30,20-05-2024,21-05-2024,05:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,71
Hong Son (Phu Yen),400000,22 chỗ ngồi,22:00,20-05-2024,21-05-2024,07:30,9 giờ 30 phút,"VP Quận 10 1B Bắc Hải,",Ninh Hòa QL1A QL1A,Nha Trang,72
Hong Son (Phu Yen),400000,22 chỗ ngồi,22:10,20-05-2024,21-05-2024,07:30,9 giờ 20 phút,Cây xăng Comeco số 3 Hàng Xanh 490f Điện Biên Phủ,Ninh Hòa QL1A QL1A,Nha Trang,73
Huynh Gia,480000,22 chỗ ngồi,22:10,20-05-2024,21-05-2024,05:10,7 giờ ,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,Văn Phòng Nha Trang  16-18 Nguyễn Chánh,Nha Trang,74
Khanh Phong,280000,38 chỗ ngồi,22:10,20-05-2024,21-05-2024,03:35,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,75
Khanh Phong,280000,38 chỗ ngồi,22:10,20-05-2024,21-05-2024,04:20,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,76
Xe Nha,280000,40 chỗ ngồi,22:10,20-05-2024,21-05-2024,06:10,8 giờ ,Văn phòng Quận 1 317 Đường Phạm Ngũ Lão,Ninh Hòa QL1A QL1A,Nha Trang,77
Khanh Phong,480000,21 chỗ ngồi,22:15,20-05-2024,21-05-2024,03:40,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,78
Khanh Phong,480000,21 chỗ ngồi,22:15,20-05-2024,21-05-2024,04:25,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,79
Phuong Nam,260000,40 chỗ ngồi,22:15,20-05-2024,21-05-2024,08:07,9 giờ 52 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,"Ngã 3 trong 658 Trần Quý Cáp, TT. Ninh Hòa, Ninh Hòa, Khánh Hòa",Nha Trang,80
Phuong Nam,260000,40 chỗ ngồi,22:15,20-05-2024,21-05-2024,08:17,10 giờ 2 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,Ngã 3 ngoài QL1 Ngã 3 ngoài,Nha Trang,81
Huynh Gia,300000,34 chỗ ngồi,22:20,20-05-2024,21-05-2024,05:20,7 giờ ,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,Văn Phòng Nha Trang  16-18 Nguyễn Chánh,Nha Trang,82
Khanh Phong,280000,38 chỗ ngồi,22:20,20-05-2024,21-05-2024,03:35,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,83
Khanh Phong,280000,38 chỗ ngồi,22:20,20-05-2024,21-05-2024,04:20,6 giờ ,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,84
Khanh Phong,320000,32 chỗ ngồi,22:20,20-05-2024,21-05-2024,03:45,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,85
Khanh Phong,320000,32 chỗ ngồi,22:20,20-05-2024,21-05-2024,04:30,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,86
Tra Lan Vien,250000,42 chỗ ngồi,22:20,20-05-2024,21-05-2024,07:20,9 giờ ,Thành Bưởi Quận 9 48C Xa Lộ Hà Nội,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,87
Xe Nha,480000,22 chỗ ngồi,22:20,20-05-2024,21-05-2024,06:20,8 giờ ,Văn phòng Quận 1 317 Đường Phạm Ngũ Lão,Ninh Hòa QL1A QL1A,Nha Trang,88
Khanh Phong,480000,21 chỗ ngồi,22:25,20-05-2024,21-05-2024,03:40,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,89
Khanh Phong,480000,21 chỗ ngồi,22:25,20-05-2024,21-05-2024,04:25,6 giờ ,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,90
Cuc Tung,450000,21 chỗ ngồi,22:30,20-05-2024,21-05-2024,06:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,91
Da Lat oi,225000,22 chỗ ngồi,22:30,20-05-2024,21-05-2024,05:30,7 giờ ,Cây xăng Petrolimex số 19 - Hàng xanh 144 Điện Biên Phủ,Vp. Nha Trang 21 Thích Quảng Đức,Nha Trang,92
Da Lat oi,375000,22 chỗ ngồi,22:30,20-05-2024,21-05-2024,05:30,7 giờ ,Cây xăng Petrolimex số 19 - Hàng xanh 144 Điện Biên Phủ,Vp. Nha Trang 21 Thích Quảng Đức,Nha Trang,93
